name,State,gdp,population,region,totalGenerated,totalConsumed,imports,co2_electric_emissions,renewable_share,cons_rejected,cons_residential,cons_commercial,cons_industrial,cons_rejected_pct,cons_residential_pct,cons_commercial_pct,cons_industrial_pct,cons_export_pct,gen_petroleum,gen_naturalGas,gen_coal,gen_nuclear,gen_hydroelectric,gen_nonhydroRenewables,gen_total,gen_petroleum_pct,gen_naturalGas_pct,gen_coal_pct,gen_nuclear_pct,gen_hydroelectric_pct,gen_nonhydroRenewables_pct,gen_import_pct,gdp_cat,population_cat,co2_capita,electric_cleanliness,coal_pct_cat,renewable_share_cat
Alabama,AL,205625,4903185,South,1281.743613,1282.188151,-152,50842,0.15,822.0641186,113.0088144,80.10624805,115.0089704,0.641185647,0.088143526,0.062480499,0.089703588,0.118555495,0,443.5276428,276.4997473,418.018394,111.9074081,31.79042064,1282,0,0.346,0.2157,0.3261,0.0873,0.0248,0,2,2,0.010369178,39.65834633,low,medium
Alaska,AK,50404,731545,West,55.6,55.5,0,3470,0.04,35.2,6.7,9,4.6,0.634234234,0.120720721,0.162162162,0.082882883,0,8.16208,20.3496,7.33364,0,17.74196,2.01272,55.6,0.1468,0.366,0.1319,0,0.3191,0.0362,0,0,0,0.004743386,62.41007194,low,low
Arizona,AZ,305849,7278717,West,1065.786811,1065.786811,-98.7,43562,0.12,700,118,101,47.7,0.663227017,0.110694184,0.094746717,0.044746717,0.092036554,0.55,296,325,325,63.6,55.636811,1066,0.0007,0.3153,0.1694,0.3676,0.0671,0.0798,0,2,3,0.005984846,40.86491557,low,medium
Arkansas,AR,121383,3017825,South,620.8758062,620.61562,-48.3,32514,0.11,403.8698873,64.97906602,41.88650564,61.58016103,0.650563607,0.104669887,0.06747182,0.099194847,0.077802835,1.36606338,127.6027385,268.493548,167.4048578,43.96240332,12.04619526,621,0.0022,0.2055,0.4324,0.2696,0.0708,0.0194,0,1,1,0.010773985,52.35748792,high,medium
California,CA,2622731,39512223,West,1912.704051,1911,305,40874,0.14,1042,304,395,170,0.54526426,0.159079016,0.206698064,0.08895866,0,3.698089126,794.6068026,3.215729674,105.3151468,101.7778442,599.0904383,1608,0.001933298,0.415407005,0.001681129,0.055056979,0.053207737,0.313194354,0.159435442,4,4,0.001034465,25.41915423,low,medium
Colorado,CO,322644,5758736,West,549.5,549.3,14.5,33912,0.11,357,65.8,71.7,54.8,0.649918078,0.119788822,0.130529765,0.099763335,0,0,139.849,259.475,0,19.8485,115.8275,535,0,0.254502275,0.472202002,0,0.036121019,0.210787079,0.026387625,3,2,0.005888792,63.38691589,high,medium
Connecticut,CT,259918,3565287,Northeast,342,342.1917544,-28.3,9517,0.07,216.0631579,44.61304094,42.21233918,11.00321637,0.631578947,0.130409357,0.123391813,0.032163743,0.08272435,0,179.9604,11.4228,140.562,3.1806,6.8742,342,0,0.5262,0.0334,0.411,0.0093,0.0201,0,2,1,0.00266935,27.82748538,low,low
Delaware,DE,71453,705749,South,69.3073994,69.3,24.4,2650,0.03,29.1,17.3,14.8,8.1,0.41991342,0.24963925,0.213564214,0.116883117,0,0,32.87341976,10.31419822,0,0,1.719781419,44.9,0,0.474333189,0.148824387,0,0,0.024814863,0.352092352,0,0,0.003754876,59.02004454,low,low
Florida,FL,926049,21477737,South,2073.4,2072.4,49.4,98945,0.07,1258,428,328,58.4,0.607025671,0.206523837,0.158270604,0.028179888,0,12.9536,1415.9904,190.0536,294.2896,1.8216,108.8912,2024,0.006247516,0.68293161,0.091662776,0.141935758,0.000878557,0.052518183,0.0238256,4,4,0.004606863,48.88586957,low,low
Georgia,GA,531302,10617423,South,1223.5,1223,82.5,51074,0.11,746,204,161,112,0.60997547,0.166802944,0.1316435,0.091578087,0,0,449.0976,311.493,265.7389,34.4582,80.2123,1141,0,0.367059747,0.254591745,0.217195668,0.028163629,0.065559706,0.067429506,4,3,0.004810395,44.76248904,high,medium
Hawaii,HI,84671,1415872,West,89.7,89.7,0,7337,0.11,57.9,9.2,10.3,12.3,0.64548495,0.102564103,0.114827202,0.137123746,0,63.15777,0,10.50387,0,0,16.03836,89.7,0.7041,0,0.1171,0,0,0.1788,0,1,1,0.005181966,81.79487179,low,medium
Idaho,ID,68377,1787065,West,183.2,183.1,26.2,2293,0.32,102,28.8,22,30.3,0.557072638,0.157291098,0.120152922,0.165483342,0,0,35.796,0,0,91.5624,29.6416,157,0,0.195393013,0,0,0.49979476,0.161799127,0.1430131,0,1,0.001283109,14.60509554,none,high
Illinois,IL,796012,12671821,Midwest,1906,1902.120672,-113,63036,0.07,1304.629591,160.8310598,172.818468,150.841553,0.685204617,0.084470094,0.090766002,0.079223505,0.059348739,0,182.5948,522.0534,981.0182,1.1436,219.19,1906,0,0.0958,0.2739,0.5147,0.0006,0.115,0,4,4,0.004974502,33.07240294,high,low
Indiana,IN,347249,6732219,Midwest,1103.9,1104.9,10.9,77844,0.07,749,118,82.9,155,0.677889402,0.106796995,0.075029414,0.140284189,0,3.0604,280.1359,722.2544,0,2.2953,85.254,1093,0.002772353,0.253769273,0.654275206,0,0.002079264,0.077229822,0.009874083,3,3,0.011562904,71.22049405,none,low
Iowa,IA,185183,3155070,Midwest,582.1164058,582.3919931,-23.5,28989,0.29,384.1319588,50.61738832,42.41457045,81.7280756,0.659793814,0.086941581,0.072852234,0.140378007,0.040364136,0,25.78517826,224.8490827,0,8.1488148,323.3333301,582,0,0.0443,0.3863,0,0.014,0.5555,0,2,1,0.009188069,49.80927835,high,high
Kansas,KS,150576,2913314,Midwest,524,524,-24.5,20884,0.19,356,48.4,55.2,39.9,0.679389313,0.092366412,0.105343511,0.076145038,0.046755725,4.0348,29.1868,218.77,100.5032,0.262,171.2432,524,0.0077,0.0557,0.4175,0.1918,0.0005,0.3268,0,1,1,0.007168469,39.85496183,high,high
