name,State,gdp,population,region,electricityGenerated,co2_electric_emissions,renewable_share,imports,totalElectricity,cons_rejected,cons_residential,cons_commercial,cons_industrial,cons_rejected_pct,cons_residential_pct,cons_commercial_pct,cons_industrial_pct,gen_petroleum,gen_naturalGas,gen_coal,gen_nuclear,gen_hydroelectric,gen_nonhydroRenewables,gen_total,gen_petroleum_pct,gen_naturalGas_pct,gen_coal_pct,gen_nuclear_pct,gen_hydroelectric_pct,gen_nonhydroRenewables_pct
Alabama,AL,205625,4903185,South,1282,50842,0.15,-152,1130,822,113,80.1,115,0.7274,0.1,0.0709,0.1018,0,390.98,243.741,368.493,98.649,28.024,1282,0,0.346,0.2157,0.3261,0.0873,0.0248
Alaska,AK,50404,731545,West,55.6,3470,0.04,0,55.6,35.2,6.7,9,4.6,0.6331,0.1205,0.1619,0.0827,8.16208,20.3496,7.33364,0,17.74196,2.01272,55.6,0.1468,0.366,0.1319,0,0.3191,0.0362
Arizona,AZ,305849,7278717,West,1066,43562,0.12,-98.7,967.3,707,118,101,47.7,0.7309,0.122,0.1044,0.0493,0.67711,304.98969,163.86062,355.57948,64.90583,77.19054,1066,0.0007,0.3153,0.1694,0.3676,0.0671,0.0798
Arkansas,AR,121383,3017825,South,621,32514,0.11,-48.3,572.7,404,65,41.9,61.6,0.7054,0.1135,0.0732,0.1076,1.25994,117.68985,247.63548,154.39992,40.54716,11.11038,621,0.0022,0.2055,0.4324,0.2696,0.0708,0.0194
California,CA,2622731,39512223,West,1608,40874,0.14,305,1913,1042,304,395,170,0.5447,0.1589,0.2065,0.0889,4.3999,945.4046,3.826,125.3015,121.0929,712.7838,1608,0.0023,0.4942,0.002,0.0655,0.0633,0.3726
Colorado,CO,322644,5758736,West,535,33912,0.11,14.5,549.5,357,65.8,71.7,54.8,0.6497,0.1197,0.1305,0.0997,0,143.6393,266.5075,0,20.38645,118.96675,535,0,0.2614,0.485,0,0.0371,0.2165
Connecticut,CT,259918,3565287,Northeast,342,9517,0.07,-28.3,313.7,216,44.6,42.2,11,0.6886,0.1422,0.1345,0.0351,0,165.06894,10.47758,128.9307,2.91741,6.30537,342,0,0.5262,0.0334,0.411,0.0093,0.0201
Delaware,DE,71453,705749,South,44.9,2650,0.03,24.4,69.3,29.1,17.3,14.8,8.1,0.4199,0.2496,0.2136,0.1169,0,50.73453,15.91821,0,0,2.65419,44.9,0,0.7321,0.2297,0,0,0.0383
DistrictofColumbia,DC,126478,973764,South,0,110,0.02,38,38,0,8.8,28.1,0.66,0,0.2316,0.7395,0.0174,0,26.8242,0,0,0,11.1758,0,0,0.7059,0,0,0,0.2941
Florida,FL,926049,21477737,South,2024,98945,0.07,49.4,2073.4,1258,428,328,58.4,0.6067,0.2064,0.1582,0.0282,13.26976,1450.55064,194.69226,301.47236,1.86606,111.54892,2024,0.0064,0.6996,0.0939,0.1454,0.0009,0.0538
