Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,growth
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2083.321897,2156.419482,0.035087033
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7102.405887,6965.511374,-0.019274386
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13546.47379,14224.09807,0.05002219
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14985.31584,15256.339,0.018085916
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,68599.61818,70089.32404,0.02171595
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,23313.81794,23040.28795,-0.011732527
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13024.69481,14257.96249,0.094686877
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,21630.17951,22879.76609,0.057770514
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,50252.84046,52203.13229,0.038809584
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,57050.35135,58649.66831,0.028033429
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14555.79673,15039.80932,0.033252222
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,780.0749372,784.9269887,0.006219981
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,52668.17244,54628.09781,0.037212709
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3237.773682,3432.7813,0.060228922
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2171.973966,2274.719736,0.047305249
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4549.617646,4964.091389,0.091100786
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,22911.0809,24579.11927,0.072804875
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,47353.11838,47002.54934,-0.007403294
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,37921.31116,38742.54575,0.021656282
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14916.79791,15817.15518,0.060358616
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19345.28019,20101.11505,0.039070763
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7291.734632,7314.631992,0.00314018
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,83404.2745,85272.21347,0.022396202
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8866.378834,9110.55582,0.027539652
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14951.811,15299.98726,0.023286561
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16056.68927,16330.88768,0.017076896
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,61859.97791,64847.65174,0.048297363
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11624.92103,12355.79357,0.062871183
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18063.76393,18552.75326,0.027070179
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,955.840117,986.6808967,0.032265626
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,50075.34418,50510.74762,0.008694966
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,31908.22384,34113.57181,0.069115347
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,68709.44418,70276.55474,0.02280779
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,24797.56665,26247.38164,0.058466018
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15614.30528,16804.42578,0.076219882
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5156.093849,5443.224839,0.055687697
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3691.334293,3803.45724,0.030374639
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1112.346092,1146.535867,0.030736634
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4002.113076,3835.662582,-0.041590652
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14837.90092,15630.07521,0.053388569
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3141.546075,3194.900748,0.016983572
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7031.358188,7489.211503,0.065115914
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20394.22609,21059.91753,0.032641172
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16165.56583,16550.85909,0.023834196
Cuba,CUB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,
Curacao,CUW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,25665.23295,25578.27924,-0.003387996
Cayman Islands,CYM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,73292.28282,,
Cyprus,CYP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,39737.32519,41254.40459,0.038177693
